months,race,contrabn,stops,month_tot,race_prop
2007-02-01,B,0,20969,20969.0,1.0
2007-02-01,H,0,12284,12284.0,1.0
2007-02-01,W,0,4731,4731.0,1.0
2007-03-01,A,0,1111,1111.0,1.0
2007-03-01,B,0,21229,21229.0,1.0
2007-03-01,H,0,13187,13518.0,0.9755141293090694
2007-03-01,H,1,331,13518.0,0.02448587069093061
2007-03-01,W,0,4998,5292.0,0.9444444444444444
2007-03-01,W,1,294,5292.0,0.05555555555555555
2007-04-01,A,0,944,1074.0,0.8789571694599627
2007-04-01,A,1,130,1074.0,0.12104283054003724
2007-04-01,B,0,19969,19969.0,1.0
2007-04-01,H,0,12056,12383.0,0.9735928288783009
2007-04-01,H,1,327,12383.0,0.026407171121699102
2007-04-01,W,0,4341,4421.0,0.9819045464826962
2007-04-01,W,1,80,4421.0,0.018095453517303777
2007-05-01,A,0,1126,1126.0,1.0
2007-05-01,B,0,19228,19940.0,0.9642928786359077
2007-05-01,B,1,712,19940.0,0.03570712136409228
2007-05-01,H,0,11687,12277.0,0.951942657000896
2007-05-01,H,1,590,12277.0,0.04805734299910402
2007-05-01,W,0,4471,4471.0,1.0
2007-06-01,A,0,1006,1027.0,0.9795520934761441
2007-06-01,A,1,21,1027.0,0.02044790652385589
2007-06-01,B,0,16621,17167.0,0.9681947923341294
2007-06-01,B,1,546,17167.0,0.03180520766587057
2007-06-01,H,0,11032,11032.0,1.0
2007-06-01,W,0,4086,4086.0,1.0
2007-07-01,A,0,891,956.0,0.9320083682008368
2007-07-01,A,1,65,956.0,0.06799163179916318
2007-07-01,B,0,17928,17928.0,1.0
2007-07-01,H,0,9470,10065.0,0.9408842523596622
2007-07-01,H,1,595,10065.0,0.05911574764033781
2007-07-01,W,0,3959,3959.0,1.0
2007-08-01,A,0,929,929.0,1.0
2007-08-01,B,0,19237,19237.0,1.0
2007-08-01,H,0,10647,10647.0,1.0
2007-08-01,W,0,4102,4233.0,0.9690526813134892
2007-08-01,W,1,131,4233.0,0.03094731868651075
2007-09-01,A,0,978,978.0,1.0
2007-09-01,B,0,21660,21660.0,1.0
2007-09-01,H,0,10851,10955.0,0.9905066179826563
2007-09-01,H,1,104,10955.0,0.009493382017343678
2007-09-01,W,0,4380,4380.0,1.0
2007-10-01,A,0,1390,1456.0,0.9546703296703297
2007-10-01,A,1,66,1456.0,0.04532967032967033
2007-10-01,B,0,20978,22293.0,0.9410128739963217
2007-10-01,B,1,1315,22293.0,0.05898712600367829
2007-10-01,H,0,12220,12537.0,0.9747148440615777
2007-10-01,H,1,317,12537.0,0.02528515593842227
2007-10-01,W,0,4285,4822.0,0.8886354209871422
2007-10-01,W,1,537,4822.0,0.11136457901285773
2007-11-01,A,0,1175,1175.0,1.0
2007-11-01,B,0,18767,19517.0,0.9615719629041348
2007-11-01,B,1,750,19517.0,0.03842803709586514
2007-11-01,H,0,10864,10864.0,1.0
